MQ2,MQ3,MQ5,MQ6,MQ7,MQ8,MQ135,label,timestamp
265.1,150.77,258.01,152.38,8.64,145.3,106.82,No Gas,2024-01-01 00:00:44
94.47,162.74,220.55,163.19,12.55,341.42,63.83,No Gas,2024-01-01 00:00:46
659.85,53.9,492.6,79.8,35.71,528.01,235.49,Smoke,2024-01-01 00:00:48
223.41,619.58,260.3,142.57,11.21,153.47,139.49,Perfume,2024-01-01 00:00:50
167.98,172.84,202.85,75.4,19.54,189.38,106.07,No Gas,2024-01-01 00:00:52
411.51,62.32,273.64,92.8,71.98,623.18,259.76,Smoke,2024-01-01 00:00:54
465.04,172.11,357.57,139.91,41.66,481.04,111.35,Smoke,2024-01-01 00:00:56
104.03,113.41,126.69,124.67,23.6,246.47,116.51,No Gas,2024-01-01 00:00:58
308.94,175.88,87.88,127.83,9.41,280.02,307.15,Perfume,2024-01-01 00:01:00
272.69,182.98,188.89,146.59,9.84,230.14,108.79,No Gas,2024-01-01 00:01:02
208.64,93.88,169.82,108.78,18.74,450.11,98.08,No Gas,2024-01-01 00:01:04
785.05,134.13,283.93,145.9,49.99,449.21,194.17,Combined,2024-01-01 00:01:06
973.08,537.2,285.0,302.82,36.8,405.49,107.63,Combined,2024-01-01 00:01:08
1325.05,337.0,193.06,394.68,115.06,216.84,334.8,Combined,2024-01-01 00:01:10
289.88,169.6,228.5,211.51,12.58,150.7,140.6,No Gas,2024-01-01 00:01:12
326.32,47.33,138.78,179.55,7.97,173.4,56.92,No Gas,2024-01-01 00:01:14
149.76,244.94,171.98,122.05,18.43,231.07,434.77,Perfume,2024-01-01 00:01:16
484.91,170.19,282.12,390.13,66.53,1148.02,196.79,Smoke,2024-01-01 00:01:18
100.49,96.02,203.32,200.77,12.5,423.46,41.5,No Gas,2024-01-01 00:01:20
700.81,164.78,253.47,165.0,79.59,269.13,135.79,Smoke,2024-01-01 00:01:22
246.12,143.44,153.85,62.56,23.74,330.07,31.73,No Gas,2024-01-01 00:01:24
337.45,136.64,163.28,232.14,64.3,697.71,228.9,Combined,2024-01-01 00:01:26
122.6,64.93,214.09,100.9,10.31,247.54,88.88,No Gas,2024-01-01 00:01:28
244.52,324.25,116.43,209.64,9.22,253.44,223.78,Perfume,2024-01-01 00:01:30
184.41,96.88,232.67,168.6,24.37,315.59,51.0,No Gas,2024-01-01 00:01:32
363.51,128.12,561.13,120.9,86.55,276.04,221.15,Smoke,2024-01-01 00:01:34
758.28,164.19,105.8,117.22,109.31,535.16,211.26,Smoke,2024-01-01 00:01:36
208.1,93.03,110.42,212.31,28.01,174.73,99.25,No Gas,2024-01-01 00:01:38
656.02,376.8,387.44,213.35,61.38,625.33,240.66,Combined,2024-01-01 00:01:40
139.75,571.99,175.31,126.98,15.81,365.76,270.41,Perfume,2024-01-01 00:01:42
548.15,488.49,222.43,235.26,56.56,525.21,272.47,Combined,2024-01-01 00:01:44
893.77,431.22,519.43,118.54,37.69,303.92,143.51,Combined,2024-01-01 00:01:46
454.76,180.59,406.82,209.79,20.31,639.89,165.24,Smoke,2024-01-01 00:01:48
1437.58,417.36,289.02,261.92,60.95,287.02,191.06,Combined,2024-01-01 00:01:50
187.18,53.32,210.83,171.58,16.05,218.01,96.03,No Gas,2024-01-01 00:01:52
117.95,160.84,161.74,172.23,6.64,226.52,50.27,No Gas,2024-01-01 00:01:54
303.06,139.28,188.96,145.2,8.85,278.45,50.63,No Gas,2024-01-01 00:01:56
253.58,93.95,217.85,166.23,13.92,127.32,116.53,No Gas,2024-01-01 00:01:58
124.02,75.48,153.53,214.16,25.07,368.06,33.06,No Gas,2024-01-01 00:02:00
228.46,175.26,241.8,155.35,14.55,284.59,78.6,No Gas,2024-01-01 00:02:02
1057.14,294.01,379.88,293.6,49.31,387.09,92.46,Combined,2024-01-01 00:02:04
149.22,165.81,154.19,143.73,9.39,140.02,79.82,No Gas,2024-01-01 00:02:06
211.96,70.06,243.74,109.55,8.94,305.13,54.5,No Gas,2024-01-01 00:02:08
527.79,75.19,92.15,311.46,25.25,892.58,63.67,Smoke,2024-01-01 00:02:10
240.01,63.29,222.53,175.12,6.88,316.17,52.53,No Gas,2024-01-01 00:02:12
812.01,754.49,485.92,148.58,29.55,308.43,329.2,Combined,2024-01-01 00:02:14
268.85,92.1,104.68,223.62,12.86,186.01,79.43,No Gas,2024-01-01 00:02:16
874.55,260.44,328.8,376.03,86.35,616.42,229.22,Combined,2024-01-01 00:02:18
364.67,250.59,154.55,102.07,25.08,135.88,185.19,Perfume,2024-01-01 00:02:20
238.93,186.34,179.16,166.85,8.75,192.26,111.78,No Gas,2024-01-01 00:02:22
122.14,113.42,218.96,116.43,9.88,315.4,69.88,No Gas,2024-01-01 00:02:24
567.01,428.6,268.2,273.28,69.35,354.52,441.43,Combined,2024-01-01 00:02:26
166.19,249.67,258.89,164.67,18.36,172.39,327.35,Perfume,2024-01-01 00:02:28
319.26,123.63,271.9,72.52,22.81,171.87,393.2,Perfume,2024-01-01 00:02:30
181.88,157.08,125.2,128.33,24.37,249.42,270.39,Perfume,2024-01-01 00:02:32
136.0,146.69,145.4,144.05,8.88,172.82,74.89,No Gas,2024-01-01 00:02:34
162.14,185.35,211.83,123.65,9.68,218.35,55.07,No Gas,2024-01-01 00:02:36
192.09,119.81,74.83,227.61,12.41,431.63,81.88,No Gas,2024-01-01 00:02:38
1023.63,279.38,314.64,186.74,50.79,581.33,172.36,Combined,2024-01-01 00:02:40
137.38,438.89,109.83,163.79,12.72,97.58,225.64,Perfume,2024-01-01 00:02:42
210.8,143.72,147.36,94.25,21.22,262.01,55.99,No Gas,2024-01-01 00:02:44
309.13,73.34,152.51,131.13,10.87,377.1,34.82,No Gas,2024-01-01 00:02:46
251.64,87.66,95.39,112.4,21.02,121.27,97.89,No Gas,2024-01-01 00:02:48
188.15,81.91,227.69,232.46,14.32,397.06,49.46,No Gas,2024-01-01 00:02:50
178.97,429.61,62.34,258.98,12.51,467.91,87.34,Perfume,2024-01-01 00:02:52
332.67,374.74,107.65,166.14,23.13,113.87,328.64,Perfume,2024-01-01 00:02:54
1052.5,303.71,165.16,400.54,24.57,703.85,215.63,Combined,2024-01-01 00:02:56
919.31,86.46,271.55,298.78,48.84,415.26,115.94,Smoke,2024-01-01 00:02:58
98.45,155.08,209.48,238.38,17.05,373.73,48.55,No Gas,2024-01-01 00:03:00
192.45,292.02,216.01,92.1,8.45,182.24,271.61,Perfume,2024-01-01 00:03:02
243.39,142.13,143.66,116.95,6.18,337.24,408.66,Perfume,2024-01-01 00:03:04
267.33,92.64,145.83,97.54,70.2,258.17,135.77,Smoke,2024-01-01 00:03:06
281.09,475.75,272.5,181.1,5.62,235.98,294.6,Perfume,2024-01-01 00:03:08
938.41,100.21,190.92,367.55,38.43,537.76,187.89,Smoke,2024-01-01 00:03:10
417.27,207.22,388.67,112.61,17.29,259.92,295.63,Smoke,2024-01-01 00:03:12
641.05,93.84,313.22,275.56,29.61,329.86,192.07,Smoke,2024-01-01 00:03:14
111.54,133.34,145.23,198.13,14.01,308.9,95.5,No Gas,2024-01-01 00:03:16
192.98,172.4,138.2,81.35,11.2,184.02,30.61,No Gas,2024-01-01 00:03:18
140.08,168.76,132.53,107.23,14.2,94.2,70.57,No Gas,2024-01-01 00:03:20
330.11,370.2,274.36,96.0,12.28,162.2,209.79,Perfume,2024-01-01 00:03:22
132.49,211.62,232.01,94.31,10.65,147.92,105.46,No Gas,2024-01-01 00:03:24
276.32,152.76,323.71,405.94,31.25,337.72,215.02,Smoke,2024-01-01 00:03:26
1052.64,342.9,403.94,250.82,21.16,377.9,158.66,Combined,2024-01-01 00:03:28
96.02,105.47,159.24,166.42,13.4,364.2,62.87,No Gas,2024-01-01 00:03:30
844.24,153.04,94.25,167.49,123.72,425.93,192.87,Smoke,2024-01-01 00:03:32
358.86,228.08,124.0,159.74,20.96,229.52,256.18,Perfume,2024-01-01 00:03:34
223.68,73.2,190.29,107.22,5.81,122.76,116.46,No Gas,2024-01-01 00:03:36
132.02,168.62,99.59,185.94,23.58,339.54,37.36,No Gas,2024-01-01 00:03:38
269.94,69.85,97.99,205.88,9.04,119.76,103.5,No Gas,2024-01-01 00:03:40
186.37,195.51,83.04,101.23,20.74,317.46,42.5,No Gas,2024-01-01 00:03:42
901.4,450.83,219.94,509.51,37.58,413.86,405.83,Combined,2024-01-01 00:03:44
482.16,137.71,205.44,238.16,61.66,881.98,150.43,Combined,2024-01-01 00:03:46
321.71,186.0,236.45,143.08,25.36,355.8,418.8,Perfume,2024-01-01 00:03:48
579.85,771.96,437.38,219.99,44.57,516.27,195.39,Combined,2024-01-01 00:03:50
874.27,327.64,313.75,284.8,26.95,332.41,173.01,Combined,2024-01-01 00:03:52
302.34,132.98,175.65,174.08,11.03,148.64,80.58,No Gas,2024-01-01 00:03:54
614.92,609.88,467.15,182.71,61.72,676.65,291.31,Combined,2024-01-01 00:03:56
756.34,61.13,189.89,155.02,56.63,732.82,232.22,Smoke,2024-01-01 00:03:58
958.89,248.9,404.46,205.24,85.74,557.5,132.02,Combined,2024-01-01 00:04:00
532.39,389.76,350.77,338.79,21.51,1111.82,275.8,Combined,2024-01-01 00:04:02
225.81,79.12,184.4,94.27,22.74,176.41,57.19,No Gas,2024-01-01 00:04:04
164.57,67.04,200.14,181.31,23.39,223.29,49.67,No Gas,2024-01-01 00:04:06
110.42,160.61,132.85,116.43,18.98,138.86,30.92,No Gas,2024-01-01 00:04:08
401.54,228.99,269.13,266.51,55.89,479.48,183.03,Smoke,2024-01-01 00:04:10
888.89,173.31,174.69,336.89,31.76,617.74,264.67,Combined,2024-01-01 00:04:12
304.33,339.15,317.55,114.91,58.41,651.79,379.25,Combined,2024-01-01 00:04:14
231.67,142.28,211.43,145.36,17.45,150.53,41.42,No Gas,2024-01-01 00:04:16
416.76,179.71,266.44,216.12,28.7,412.58,156.83,Smoke,2024-01-01 00:04:18
718.8,158.08,90.11,200.21,62.77,457.59,228.87,Smoke,2024-01-01 00:04:20
171.35,149.52,151.43,209.93,17.4,378.02,83.59,No Gas,2024-01-01 00:04:22
93.49,84.56,110.69,153.83,11.52,113.95,41.7,No Gas,2024-01-01 00:04:24
284.2,155.7,158.67,123.56,19.14,183.84,42.3,No Gas,2024-01-01 00:04:26
493.83,196.72,514.78,112.39,41.38,285.38,252.69,Combined,2024-01-01 00:04:28
138.97,94.58,177.13,99.11,14.1,165.17,92.07,No Gas,2024-01-01 00:04:30
595.34,119.11,150.69,320.15,67.69,860.35,126.92,Smoke,2024-01-01 00:04:32
248.63,141.09,253.06,200.43,7.08,217.65,466.11,Perfume,2024-01-01 00:04:34
124.12,182.24,120.55,187.37,16.13,304.86,40.41,No Gas,2024-01-01 00:04:36
632.78,381.91,451.66,300.09,57.53,530.02,116.45,Combined,2024-01-01 00:04:38
1036.85,390.71,297.59,287.04,42.58,727.49,103.91,Combined,2024-01-01 00:04:40
105.24,94.25,214.27,245.35,9.86,389.8,104.37,No Gas,2024-01-01 00:04:42
744.37,303.9,312.5,333.22,101.0,478.58,304.6,Smoke,2024-01-01 00:04:44
269.92,196.62,184.25,146.79,16.36,348.03,61.97,No Gas,2024-01-01 00:04:46
154.62,77.93,255.33,107.62,23.82,198.65,82.12,No Gas,2024-01-01 00:04:48
129.42,135.06,161.73,76.16,23.18,318.51,58.89,No Gas,2024-01-01 00:04:50
211.28,206.98,236.78,187.45,10.1,320.77,304.65,Perfume,2024-01-01 00:04:52
612.61,148.21,201.19,325.36,68.56,176.79,225.83,Smoke,2024-01-01 00:04:54
229.67,170.73,168.61,155.88,15.88,236.56,90.32,No Gas,2024-01-01 00:04:56
237.14,167.13,205.09,108.41,8.49,116.89,101.47,No Gas,2024-01-01 00:04:58
357.17,303.72,415.24,231.74,10.48,1205.27,294.1,Combined,2024-01-01 00:05:00
101.83,136.05,226.46,167.85,7.1,230.77,118.84,No Gas,2024-01-01 00:05:02
244.86,177.66,149.25,225.44,10.98,162.17,50.9,No Gas,2024-01-01 00:05:04
481.02,231.61,169.05,283.35,38.68,524.1,236.37,Smoke,2024-01-01 00:05:06
800.44,321.97,394.44,183.23,66.15,514.85,227.89,Combined,2024-01-01 00:05:08
126.28,142.44,224.09,177.45,17.49,221.24,85.0,No Gas,2024-01-01 00:05:10
211.55,610.92,188.28,99.35,9.68,254.37,146.81,Perfume,2024-01-01 00:05:12
250.31,669.87,247.28,185.55,16.56,228.05,210.01,Perfume,2024-01-01 00:05:14
237.49,72.62,172.28,128.8,21.56,101.29,56.99,No Gas,2024-01-01 00:05:16
304.86,183.84,100.04,197.58,15.54,235.06,147.97,Perfume,2024-01-01 00:05:18
299.72,170.56,199.95,177.51,10.63,110.33,41.96,No Gas,2024-01-01 00:05:20
138.87,236.96,231.17,203.5,15.1,293.03,210.28,Perfume,2024-01-01 00:05:22
131.7,378.48,98.63,127.44,22.07,185.78,255.15,Perfume,2024-01-01 00:05:24
436.35,169.24,97.66,177.13,45.49,796.21,346.11,Smoke,2024-01-01 00:05:26
235.17,167.34,114.48,128.93,9.54,217.44,78.19,No Gas,2024-01-01 00:05:28
1042.04,252.48,441.5,372.69,18.52,797.49,202.91,Combined,2024-01-01 00:05:30
160.22,201.52,189.09,137.18,17.96,214.74,60.24,No Gas,2024-01-01 00:05:32
89.52,112.8,133.44,240.27,13.29,144.93,78.0,No Gas,2024-01-01 00:05:34
146.84,165.68,220.14,98.14,7.28,180.4,32.58,No Gas,2024-01-01 00:05:36
608.23,279.91,264.75,347.15,26.99,188.31,275.39,Smoke,2024-01-01 00:05:38
165.89,450.05,153.56,198.14,6.69,280.52,372.12,Perfume,2024-01-01 00:05:40
285.33,131.22,81.69,142.35,11.42,137.06,63.86,No Gas,2024-01-01 00:05:42
1202.94,145.99,374.35,321.85,73.0,386.96,86.56,Smoke,2024-01-01 00:05:44
174.55,86.57,127.63,282.77,24.57,244.27,66.54,No Gas,2024-01-01 00:05:46
284.97,174.33,164.89,235.04,24.2,218.47,257.88,Perfume,2024-01-01 00:05:48
241.55,110.78,213.86,56.64,13.85,198.45,115.52,No Gas,2024-01-01 00:05:50
208.3,574.88,189.13,214.74,24.4,277.32,154.92,Perfume,2024-01-01 00:05:52
235.97,101.47,259.72,76.41,14.32,154.87,31.79,No Gas,2024-01-01 00:05:54
1203.28,467.48,341.94,353.38,54.65,495.39,189.5,Combined,2024-01-01 00:05:56
95.9,95.88,99.98,107.19,13.71,351.24,43.51,No Gas,2024-01-01 00:05:58
297.62,156.52,111.44,135.47,7.93,306.92,71.62,No Gas,2024-01-01 00:06:00
175.96,94.88,221.7,109.87,11.05,195.48,39.82,No Gas,2024-01-01 00:06:02
1131.43,379.42,317.96,238.02,86.47,728.41,284.14,Combined,2024-01-01 00:06:04
1176.79,232.84,481.14,177.35,61.96,693.08,168.65,Combined,2024-01-01 00:06:06
228.69,95.59,127.64,97.18,8.9,178.27,99.68,No Gas,2024-01-01 00:06:08
257.07,214.48,189.94,130.25,21.74,238.11,251.5,Perfume,2024-01-01 00:06:10
435.4,341.87,276.94,167.19,87.23,547.32,240.43,Combined,2024-01-01 00:06:12
558.37,66.83,127.77,201.46,64.65,442.91,111.55,Smoke,2024-01-01 00:06:14
702.48,117.13,342.89,249.59,53.74,484.18,194.36,Smoke,2024-01-01 00:06:16
270.05,165.27,204.15,206.97,21.47,135.17,80.0,No Gas,2024-01-01 00:06:18
172.84,95.72,177.17,157.34,26.02,231.44,59.78,No Gas,2024-01-01 00:06:20
1099.44,266.65,375.39,117.37,60.38,942.71,195.67,Combined,2024-01-01 00:06:22
701.39,364.84,368.26,406.7,80.46,523.2,331.52,Combined,2024-01-01 00:06:24
163.15,249.37,232.97,269.45,25.81,342.61,173.48,Perfume,2024-01-01 00:06:26
236.4,107.02,114.68,152.22,8.14,278.59,98.29,No Gas,2024-01-01 00:06:28
116.36,103.72,237.81,187.37,6.95,193.19,82.59,No Gas,2024-01-01 00:06:30
295.57,249.09,153.21,111.94,16.87,182.86,456.96,Perfume,2024-01-01 00:06:32
678.54,130.14,284.76,258.79,73.66,307.56,127.07,Combined,2024-01-01 00:06:34
1068.83,222.94,194.85,128.04,28.51,274.91,252.05,Combined,2024-01-01 00:06:36
303.19,254.87,89.5,177.64,10.81,544.43,372.78,Perfume,2024-01-01 00:06:38
189.83,275.93,242.88,166.8,12.19,74.48,191.63,Perfume,2024-01-01 00:06:40
160.46,80.4,89.34,80.51,14.3,163.43,110.93,No Gas,2024-01-01 00:06:42
183.47,132.21,141.41,179.57,6.21,125.62,110.92,No Gas,2024-01-01 00:06:44
753.3,134.2,247.36,117.62,31.48,337.98,340.37,Combined,2024-01-01 00:06:46
432.18,166.29,169.55,192.83,11.57,184.03,239.76,Perfume,2024-01-01 00:06:48
121.0,120.39,95.55,188.28,20.95,355.34,94.74,No Gas,2024-01-01 00:06:50
327.03,170.23,246.43,98.0,17.66,168.59,127.08,No Gas,2024-01-01 00:06:52
220.82,520.58,276.74,146.65,18.93,157.39,274.44,Perfume,2024-01-01 00:06:54
252.55,85.34,230.04,147.01,17.76,205.71,103.05,No Gas,2024-01-01 00:06:56
202.49,230.17,202.3,80.61,19.92,207.36,131.57,No Gas,2024-01-01 00:06:58
800.4,246.28,403.86,254.4,67.74,288.25,149.23,Smoke,2024-01-01 00:07:00
284.11,283.95,184.35,237.18,14.87,250.97,509.95,Perfume,2024-01-01 00:07:02
206.11,204.78,196.64,232.79,27.34,156.87,265.14,Perfume,2024-01-01 00:07:04
162.98,91.27,107.72,109.24,12.31,150.48,100.29,No Gas,2024-01-01 00:07:06
199.45,544.97,100.49,124.11,11.56,424.46,285.21,Perfume,2024-01-01 00:07:08
180.91,59.47,105.11,224.79,17.67,174.99,37.93,No Gas,2024-01-01 00:07:10
163.32,138.25,208.93,90.33,10.77,403.58,54.29,No Gas,2024-01-01 00:07:12
231.59,469.12,96.83,126.69,9.25,416.26,409.75,Perfume,2024-01-01 00:07:14
317.54,276.69,166.69,256.77,6.13,133.51,261.95,Perfume,2024-01-01 00:07:16
529.45,535.21,421.35,329.0,22.58,529.79,286.24,Combined,2024-01-01 00:07:18
259.71,665.1,271.75,194.53,17.88,296.77,278.79,Perfume,2024-01-01 00:07:20
681.76,202.47,278.89,196.6,81.44,363.87,89.71,Smoke,2024-01-01 00:07:22
184.85,197.77,229.52,148.9,24.34,324.59,116.36,No Gas,2024-01-01 00:07:24
199.01,179.65,194.32,169.07,17.03,216.88,90.89,No Gas,2024-01-01 00:07:26
174.16,49.4,87.14,91.6,20.73,191.06,92.42,No Gas,2024-01-01 00:07:28
197.6,197.01,97.87,169.03,25.22,192.57,117.84,No Gas,2024-01-01 00:07:30
919.82,132.46,220.91,468.11,136.32,493.32,283.96,Combined,2024-01-01 00:07:32
261.05,143.29,138.16,223.12,14.2,233.61,66.2,No Gas,2024-01-01 00:07:34
1069.43,351.54,205.91,198.23,82.01,972.93,398.63,Combined,2024-01-01 00:07:36
221.48,505.66,111.23,130.37,19.6,123.46,219.39,Perfume,2024-01-01 00:07:38
272.4,312.75,131.55,199.76,13.38,203.74,313.0,Perfume,2024-01-01 00:07:40
863.65,170.94,393.02,190.98,59.1,492.26,262.03,Smoke,2024-01-01 00:07:42
550.16,68.48,147.46,147.13,70.87,337.33,85.38,Smoke,2024-01-01 00:07:44
467.05,153.36,344.87,216.3,157.05,137.31,134.44,Smoke,2024-01-01 00:07:46
139.57,170.19,180.02,193.74,19.42,215.76,75.11,No Gas,2024-01-01 00:07:48
360.15,353.88,272.77,97.3,7.4,294.43,322.83,Perfume,2024-01-01 00:07:50
154.4,107.2,69.89,168.53,17.18,249.8,43.38,No Gas,2024-01-01 00:07:52
113.02,137.46,156.32,136.15,20.07,322.14,110.2,No Gas,2024-01-01 00:07:54
188.41,489.74,259.98,212.69,6.75,155.88,352.02,Perfume,2024-01-01 00:07:56
89.79,100.18,157.31,82.97,8.83,205.93,37.84,No Gas,2024-01-01 00:07:58
489.73,583.74,246.08,360.3,93.55,982.75,260.85,Combined,2024-01-01 00:08:00
1131.14,289.65,395.37,380.53,31.3,460.14,305.45,Combined,2024-01-01 00:08:02
697.73,413.79,252.23,349.59,89.53,410.36,336.84,Combined,2024-01-01 00:08:04
134.68,158.51,90.92,119.12,25.89,339.36,118.98,No Gas,2024-01-01 00:08:06
192.29,142.44,231.33,109.95,13.77,355.1,42.12,No Gas,2024-01-01 00:08:08
456.22,394.97,383.37,488.06,54.12,363.46,207.97,Combined,2024-01-01 00:08:10
1170.05,93.95,169.86,331.3,115.55,697.04,195.79,Smoke,2024-01-01 00:08:12
437.85,158.74,555.26,323.82,44.68,413.75,342.2,Combined,2024-01-01 00:08:14
226.28,502.34,415.02,201.12,66.9,661.83,107.9,Combined,2024-01-01 00:08:16
821.72,142.84,566.06,182.71,40.53,575.1,298.2,Combined,2024-01-01 00:08:18
164.17,104.8,203.42,124.73,9.53,201.52,30.96,No Gas,2024-01-01 00:08:20
109.31,147.71,153.09,126.01,28.73,320.78,93.02,No Gas,2024-01-01 00:08:22
543.3,335.82,327.86,409.62,71.29,729.12,287.14,Combined,2024-01-01 00:08:24
296.26,206.06,180.26,82.22,5.93,162.75,77.75,No Gas,2024-01-01 00:08:26
181.72,60.13,201.49,134.69,6.78,292.79,112.98,No Gas,2024-01-01 00:08:28
935.45,100.18,299.59,284.39,86.66,355.35,209.9,Smoke,2024-01-01 00:08:30
363.36,342.59,288.89,272.83,63.45,484.27,158.1,Combined,2024-01-01 00:08:32
339.84,154.49,127.21,188.9,21.94,458.37,311.16,Perfume,2024-01-01 00:08:34
667.01,164.37,448.99,364.1,88.98,381.32,161.9,Smoke,2024-01-01 00:08:36
209.89,138.12,87.34,88.99,19.27,240.05,31.98,No Gas,2024-01-01 00:08:38
370.68,318.61,177.47,77.39,15.79,148.54,109.38,Perfume,2024-01-01 00:08:40
318.91,245.61,493.82,446.29,42.15,1102.71,288.17,Combined,2024-01-01 00:08:42
242.44,126.62,163.35,161.25,10.46,325.0,66.62,No Gas,2024-01-01 00:08:44
639.96,225.55,218.16,169.23,25.93,1126.73,127.52,Smoke,2024-01-01 00:08:46
605.75,257.91,216.45,146.88,40.03,394.26,369.99,Combined,2024-01-01 00:08:48
275.71,636.48,79.15,130.69,9.83,279.47,342.4,Perfume,2024-01-01 00:08:50
203.42,277.53,242.62,171.3,8.17,468.66,399.36,Perfume,2024-01-01 00:08:52
328.72,145.68,240.42,245.16,18.99,168.85,275.59,Perfume,2024-01-01 00:08:54
109.97,45.05,109.02,107.58,13.65,317.03,76.24,No Gas,2024-01-01 00:08:56
90.55,71.97,155.45,70.39,9.7,402.41,121.4,No Gas,2024-01-01 00:08:58
804.8,299.57,324.8,158.62,31.29,615.35,147.52,Combined,2024-01-01 00:09:00
551.69,174.71,595.73,100.59,46.95,568.28,263.57,Combined,2024-01-01 00:09:02
784.62,476.14,399.39,307.42,40.85,969.25,195.85,Combined,2024-01-01 00:09:04
920.41,220.28,595.53,249.94,16.31,896.49,210.6,Combined,2024-01-01 00:09:06
487.27,98.91,167.54,134.48,34.05,522.01,192.98,Smoke,2024-01-01 00:09:08
306.06,122.76,319.99,120.01,62.12,594.53,183.94,Smoke,2024-01-01 00:09:10
164.33,531.92,163.56,209.05,12.91,124.26,258.36,Perfume,2024-01-01 00:09:12
167.56,275.6,124.22,145.73,8.86,88.12,362.3,Perfume,2024-01-01 00:09:14
232.39,474.58,143.71,221.08,12.47,291.56,141.12,Perfume,2024-01-01 00:09:16
247.57,149.27,129.57,154.04,18.64,361.07,299.98,Perfume,2024-01-01 00:09:18
428.68,482.49,504.05,398.09,53.24,380.94,79.41,Combined,2024-01-01 00:09:20
136.39,142.19,144.59,87.46,19.78,192.42,52.72,No Gas,2024-01-01 00:09:22
136.57,81.89,165.58,140.57,11.84,319.36,110.89,No Gas,2024-01-01 00:09:24
138.74,136.89,110.7,135.62,13.0,203.22,40.51,No Gas,2024-01-01 00:09:26
491.45,253.09,284.94,179.41,21.05,427.65,120.57,Smoke,2024-01-01 00:09:28
205.14,74.71,116.76,134.7,3.99,278.03,113.23,No Gas,2024-01-01 00:09:30
472.9,105.0,132.93,197.27,18.05,454.35,112.16,Smoke,2024-01-01 00:09:32
424.83,139.46,297.77,306.55,41.64,563.19,107.31,Smoke,2024-01-01 00:09:34
208.95,62.45,223.98,109.69,11.3,233.57,85.6,No Gas,2024-01-01 00:09:36
543.03,64.89,219.59,140.35,60.2,701.49,216.5,Smoke,2024-01-01 00:09:38
220.58,64.06,195.68,156.65,7.94,289.66,30.91,No Gas,2024-01-01 00:09:40
185.02,122.77,132.65,80.97,23.94,156.79,103.64,No Gas,2024-01-01 00:09:42
698.33,404.3,121.61,258.59,59.4,285.12,397.42,Combined,2024-01-01 00:09:44
115.05,204.84,169.65,143.63,22.83,242.35,56.14,No Gas,2024-01-01 00:09:46
225.83,189.47,76.71,117.42,11.25,163.19,116.89,No Gas,2024-01-01 00:09:48
716.57,163.42,131.54,162.53,55.92,632.95,258.51,Smoke,2024-01-01 00:09:50
304.62,546.31,245.6,209.08,28.59,222.99,104.95,Perfume,2024-01-01 00:09:52
113.98,176.69,193.4,170.89,20.59,176.43,102.12,No Gas,2024-01-01 00:09:54
290.22,399.61,276.3,255.68,9.83,197.56,365.27,Perfume,2024-01-01 00:09:56
106.35,127.89,208.38,135.86,16.5,330.35,33.56,No Gas,2024-01-01 00:09:58
156.41,61.55,72.37,176.81,5.58,282.67,83.47,No Gas,2024-01-01 00:10:00
920.42,135.23,154.63,326.05,19.83,278.49,225.94,Smoke,2024-01-01 00:10:02
675.0,204.43,251.66,105.83,103.68,399.72,127.93,Smoke,2024-01-01 00:10:04
